tipo,quartos,title
,,"Linda chácara Blumenau - Terrenos, sítios e fazendas - Itoupava Norte, Blumenau | OLX"
,2,"Apto 2 dorm. c/ garagem próx. centro de Blumenau - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Urgente - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Lindo Sobrado Bairro Fortaleza Blumenau - Venda - casas e apartamentos - Fortaleza Alta, Blumenau | OLX"
,1,"Apartamento novo 1 Quarto no bairro Itoupava Seca, Blumenau SC - Aluguel - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,1,"Kitnet em Blumenau no bairro Progresso, 1 dormitório - Aluguel - casas e apartamentos - Progresso, Blumenau | OLX"
,2,"Casa em Blumenau, Escola Agrícola, 2 quartos (sendo 1 suíte) - Aluguel - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,3,"Casa comercial Blumenau - Venda - casas e apartamentos - Progresso, Blumenau | OLX"
,,"Terreno 3.884 troco por terreno em Blumenau - Terrenos, sítios e fazendas - Pomerode, Santa Catarina | OLX"
,4,"Casa na praia de São Miguel, Penha - Venda - casas e apartamentos - Penha, Santa Catarina | OLX"
,,"Loja de 66m² no Centro de Blumenau, entre o Blu Lanches e a Boutique dos Varais, 5m de alt - Lojas, salas e outros - Centro, Blumenau | OLX"
,3,"Apartamento 3 quartos em Blumenau - Próximo ao novo Campus da UFSC - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,3,"Casa mista Garcia Blumenau - Venda - casas e apartamentos - Centro, Florianópolis | OLX"
,2,"Kitnet em Blumenau, 01 Quarto - Aluguel - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Apartamento Blumenau - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,4,"Apartamento 210m2 centro de Blumenau - Venda - casas e apartamentos - Victor Konder, Blumenau | OLX"
,,"Terreno na Rua Pastor Oswaldo Hesse - Terrenos, sítios e fazendas - Ribeirão Fresco, Blumenau | OLX"
,3,"Casa Bairro Progresso - Blumenau - SC - Aluguel - casas e apartamentos - Progresso, Blumenau | OLX"
,,"Terrenos 360m2 em Lontras fora de área de risco, a 2km do centro - Terrenos, sítios e fazendas - Centro, Lontras | OLX"
,3,"Imperdível apartamento na alameda blumenau - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,1,"Espaço Mobiliado Fortaleza - Aluguel - casas e apartamentos - Fortaleza, Blumenau | OLX"
,2,"Apto Salto Weissbach Blumenau, 2 Quartos - Aluguel - casas e apartamentos - Salto Weissbach, Blumenau | OLX"
,,"Terreno 1,5 KM do centro de Blumenau (1.032 m2) - Sem stress do trânsito - Terrenos, sítios e fazendas - Ribeirão Fresco, Blumenau | OLX"
,3,"Casa no bairro Salto do Norte em Blumenau - Aluguel - casas e apartamentos - Salto Norte, Blumenau | OLX"
,3,"Apartamento novo no bairro Itoupava Norte - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,1,"Apartamento em Blumenau, 1 quarto - Venda - casas e apartamentos - Victor Konder, Blumenau | OLX"
,2,"Casa no bairro Testo Salto, Blumenau - Aluguel - casas e apartamentos - Testo Salto, Blumenau | OLX"
,3,"Apartamento todo mobiliado com cozinha completa, 03 dormitórios e sacada. 70 m² - Aluguel - casas e apartamentos - Água Verde, Blumenau | OLX"
,,"Sitio em Apiúna apartir de 80mil reais - Terrenos, sítios e fazendas - Apiúna, Santa Catarina | OLX"
,3,"Itoupava Norte -Casa Residencial ou Comercial -Excelente Localização - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,,"Atenção Loteadores - Lançamentos - Itoupava Central, Blumenau | OLX"
,,"Fazenda / Sitio em Apiúna - 84 hectares - R 1.325.000.00 - Terrenos, sítios e fazendas - Apiúna, Santa Catarina | OLX"
,2,"Casa em Blumenau - Venda - casas e apartamentos - Velha Central, Blumenau | OLX"
,3,"Casa com 03 dormitórios no centro de Blumenau. 80 m² - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,1,"Kitnete - Aluguel - casas e apartamentos - Gaspar, Santa Catarina | OLX"
,2,"Belíssimo apartamento todo mobiliado sob medida, 70 m² - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,,"Terreno Comercial de frente para Br 470 em Blumenau, Viaduto da Mafisa - Lojas, salas e outros - Itoupava Norte, Blumenau | OLX"
,,"Posto de combustivel com imovel - Terrenos, sítios e fazendas - Agronômica, Florianópolis | OLX"
,1,"Apartamento Salto do Norte - Aluguel - casas e apartamentos - Salto Norte, Blumenau | OLX"
,,"Sítio, 20,088 m² R 172,000,00 Vila Itoupava, Blumenau-SC - Terrenos, sítios e fazendas - Vila Itoupava, Blumenau | OLX"
,1,"Quitinete no Badenfurt em Blumenau - Aluguel - casas e apartamentos - Badenfurt, Blumenau | OLX"
,3,"Apartamento em Blumenau - Venda - casas e apartamentos - Vila Formosa, Blumenau | OLX"
,2,"Apartamento no Vila Jardim Blumenau - Itoupavazinha - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,,"Galpão Novo para Locação 400m2 - Bairro Velha - Blumenau - Lojas, salas e outros - Velha Central, Blumenau | OLX"
,,"Terreno, Santo Antonio, Apiúna-SC - Terrenos, sítios e fazendas - Indaial, Santa Catarina | OLX"
,2,"Vende-se apartamento em Blumenau - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,3,"Casa para finais de semana e temporada - Temporada - Balneário Piçarras, Santa Catarina | OLX"
,4,"Casa de 2 pisos, badenfurt Blumenau BR 470 - Venda - casas e apartamentos - Indaial, Santa Catarina | OLX"
,2,"Apto - Aluguel - casas e apartamentos - Fortaleza, Blumenau | OLX"
,,"Vende-se bonito sitio na vila itoupava - Terrenos, sítios e fazendas - Vila Itoupava, Blumenau | OLX"
,2,"Vendo casa geminada - Venda - casas e apartamentos - Ponta Aguda, Blumenau | OLX"
,1,"Kitinete mobiliada - i t a j a i - Aluguel - casas e apartamentos - Barra do Rio, Itajaí | OLX"
,1,"Apto no centro de Blumenau próx ao Angeloni e Big - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,4,"Casa em Blumenau, 4 quartos , Bairro Tribess - Venda - casas e apartamentos - Tribess, Blumenau | OLX"
,,"Lindo sitio c casa grande em alvenaria, area festas rustica, 5 lagoas, aceito apto - Terrenos, sítios e fazendas - Benedito Novo, Santa Catarina | OLX"
,,"Terreno em Blumenau, Santa Catarina - Terrenos, sítios e fazendas - Garcia, Blumenau | OLX"
,,"Hostel Diária em Blumenau 40,00 - Aluguel - casas e apartamentos - Salto Norte, Blumenau | OLX"
,1,"Loft mobiliado e equipado no centro de Blumenau - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,3,"Apto em Blumenau - 3 Quartos c/ suite - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,2,"Casa em Blumenau, 2 quartos, sacada, 2 banheiros, garagem, jardim, espaço para piscina - Venda - casas e apartamentos - Valparaiso, Blumenau | OLX"
,,"Sítio de 10,5 hectares, em Witmarsum à 120 km de Blumenau - Terrenos, sítios e fazendas - Witmarsum, Santa Catarina | OLX"
,2,"Otima localizacao este sobrado em blumenau agua verde - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,3,"Casa Residencial Parque das Orquideas - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,1,"Vendo ap - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,,"Vendo - Terrenos, sítios e fazendas - Badenfurt, Blumenau | OLX"
,3,"Apartamento, Velha, Blumenau-SC - Venda - casas e apartamentos - Velha, Blumenau | OLX"
,2,"Casa a venda em Blumenau no bairro Velha - Venda - casas e apartamentos - Velha Central, Blumenau | OLX"
,2,"Vendo apartamento em Blumenau - Venda - casas e apartamentos - Itoupava Central, Blumenau | OLX"
,,"Sítio, Itoupava Central, Blumenau-SC - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,2,"Apartamento 2 Dorms sendo 1 Suite 1 Vaga Bairro Vila Nova - Blumenau - Venda - casas e apartamentos - Vila Nova, Blumenau | OLX"
,2,"Lindos sobrados em Blumenau/Itoupava Norte - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,2,"Aluga-se Casa em Blumenau Bairro Vorstardt - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,1,"Lindo Loft mobiliado Blumenau - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,5 ou mais,"Sobrado na Escola Agricula Blumenau SC - Venda - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,1,"Apto de um quarto - Aluguel - casas e apartamentos - Garcia, Blumenau | OLX"
,2,"Apartamento 2 quartos - Aluguel - casas e apartamentos - Passo Manso, Blumenau | OLX"
,2,"Sobrado - Bairro Água Verde em Blumenau - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,,"Terreno no Testo Salto Blumenau - Terrenos, sítios e fazendas - Itoupavazinha, Blumenau | OLX"
,,"Salão de Beleza - Lojas, salas e outros - Jardim Blumenau, Blumenau | OLX"
,3,"Permuta - Venda - casas e apartamentos - Penha, Santa Catarina | OLX"
,,"Vendo terreno na it central - Terrenos, sítios e fazendas - Itoupava Central, Blumenau | OLX"
,2,"Apartamento 2 quartos no Fortaleza de Sagres Blumenau (Barato) - Venda - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,2,"Ap fortaleza - Venda - casas e apartamentos - Gaspar, Santa Catarina | OLX"
,,"3 lotes em blumenau - Terrenos, sítios e fazendas - Itoupava Norte, Blumenau | OLX"
,3,"A vista R 330mil - Aceitamos permuta por imóvel em Blumenau - Venda - casas e apartamentos - Timbó, Santa Catarina | OLX"
,,"Ótimo Terreno Comercial em Blumenau - Lojas, salas e outros - Itoupava Norte, Blumenau | OLX"
,3,"Casa em Blumenau, ótima localização - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,3,"Apartamento em Blumenau 700 mil aceita permuta em BC - Venda - casas e apartamentos - Centro, Blumenau | OLX"
,1,"Alugo apartamento de 1 quarto mobiliado em blumenau, central - Aluguel - casas e apartamentos - Centro, Blumenau | OLX"
,2,"Vendo ou trco - Venda - casas e apartamentos - Jardim Cidade De Florianópolis, São José | OLX"
,,"Quartos para oktoberfest 2017 - Aluguel - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,3,"Casa em Blumenau Bairro Vila Nova - Venda - casas e apartamentos - Água Verde, Blumenau | OLX"
,,"Terreno - Terrenos, sítios e fazendas - Vila Itoupava, Blumenau | OLX"
,,"Terreno Industrial em Pomerode/SC - Bairro Testo Central - Terrenos, sítios e fazendas - Pomerode, Santa Catarina | OLX"
,1,"Casa centro Blumenau - Aluguel - casas e apartamentos - Itoupava Seca, Blumenau | OLX"
,,"Terreno 900 m² - Gaspar Alto - Terrenos, sítios e fazendas - Gaspar, Santa Catarina | OLX"
,2,"Apartamento com suíte - Venda - casas e apartamentos - Badenfurt, Blumenau | OLX"
,2,"Apartamento Próximo ao Norte Shopping em Blumenau - Venda - casas e apartamentos - Itoupavazinha, Blumenau | OLX"
,2,"Casa - Salto do Norte - Badenfurt - Venda - casas e apartamentos - Badenfurt, Blumenau | OLX"
,2,"Casa na Rua São Bernardo - Blumenau - Venda - casas e apartamentos - Itoupava Norte, Blumenau | OLX"
,4,"Casa em Indaial, Encano Baixo 270 m² - Venda - casas e apartamentos - Indaial, Santa Catarina | OLX"
,,"Terrenos na Praia do Ervino - Terrenos, sítios e fazendas - São Francisco do Sul, Santa Catarina | OLX"
,3,"Casa Penha -Estilo Chalé. Linda - Venda - casas e apartamentos - Penha, Santa Catarina | OLX"
,2,"Ap no centro de Blumenau - Aluguel - casas e apartamentos - Escola Agrícola, Blumenau | OLX"
,,"Terreno para Sítio - Vila Itoupava - Terrenos, sítios e fazendas - Blumenau, Santa Catarina | OLX"
,1,"Apartamento 1 quarto na Velha - Transv Jorge lacerda - Venda - casas e apartamentos - Blumenau, Santa Catarina | OLX"
,,"Sítio Rio dos Cedros - Próximo ao Mercado Campestrini - Terrenos, sítios e fazendas - Blumenau, Santa Catarina | OLX"
,2,"Apto mobiliado Blumenau. 139.000,00 - Venda - casas e apartamentos - Boa Vista, Blumenau | OLX"
,5 ou mais,"3 casas pelo preço de uma - Venda - casas e apartamentos - Testo Salto, Blumenau | OLX"
,1,"Alugar apto mobiliado 1 dormitorio em Blumenau- prox Centro a partir R$650,00 - Aluguel - casas e apartamentos - Garcia, Blumenau | OLX"
,4,"Casa em Timbó. Bairro dos estados - Venda - casas e apartamentos - Timbó, Santa Catarina | OLX"
,3,"Vende-se casa em Blumenau - Venda - casas e apartamentos - Ribeirão Fresco, Blumenau | OLX"
,2,"Apartamento de 2 quartos, Vila Nova (Blumenau) - Venda - casas e apartamentos - Vila Nova, Blumenau | OLX"
,,"Terreno pra sitio - Terrenos, sítios e fazendas - Garcia, Blumenau | OLX"
,4,"Casa - Venda - casas e apartamentos - Garcia, Blumenau | OLX"
